model_name,model_type,week_start,training_date,rmse,mae,r2,mape,prediction_coverage,training_time_sec,is_current,model_path
xgboost_global_2026-W22_20260607_183349,global,2026-W22,2026-06-07T18:33:49.532707,28.668249515333816,17.000690460205078,0.8590620160102844,5.767742592676983,80.0,0.1028299331665039,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_global_2026-W22_20260607_183349.pkl
random_forest_global_2026-W22_20260607_183350,global,2026-W22,2026-06-07T18:33:50.162298,18.5780531824156,9.209977959270248,0.9408130370324272,2.9538824817218967,80.0,0.4024171829223633,False,D:\pfmML\PFM\projet_vf\models\versions\random_forest_global_2026-W22_20260607_183350.pkl
xgboost_global_2026-W22_20260607_184545,global,2026-W22,2026-06-07T18:45:45.691654,5.879350715133684,4.495296955108643,0.9940723180770874,1.6168055409189,80.0,0.5803356170654297,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_global_2026-W22_20260607_184545.pkl
random_forest_global_2026-W22_20260607_184547,global,2026-W22,2026-06-07T18:45:47.925082,18.5780531824156,9.20997795927025,0.9408130370324272,2.9538824817218963,80.0,1.0266821384429932,False,D:\pfmML\PFM\projet_vf\models\versions\random_forest_global_2026-W22_20260607_184547.pkl
xgboost_zone_zone_0_202622_2026-W22_20260607_184549,zones,2026-W22,2026-06-07T18:45:49.719768,8.36,4.4,0.0,40.6,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_0_202622_2026-W22_20260607_184549.pkl
xgboost_zone_zone_1_202622_2026-W22_20260607_184549,zones,2026-W22,2026-06-07T18:45:49.801740,12.34,7.88,0.0,22.4,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_1_202622_2026-W22_20260607_184549.pkl
xgboost_zone_zone_2_202622_2026-W22_20260607_184549,zones,2026-W22,2026-06-07T18:45:49.882639,6.68,4.64,0.0,20.2,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_2_202622_2026-W22_20260607_184549.pkl
xgboost_zone_zone_3_202622_2026-W22_20260607_184549,zones,2026-W22,2026-06-07T18:45:49.930433,18.26,10.96,0.0,14.9,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_3_202622_2026-W22_20260607_184549.pkl
xgboost_zone_zone_4_202622_2026-W22_20260607_184550,zones,2026-W22,2026-06-07T18:45:50.082958,9.16,4.93,0.0,45.4,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_4_202622_2026-W22_20260607_184550.pkl
xgboost_zone_zone_5_202622_2026-W22_20260607_184550,zones,2026-W22,2026-06-07T18:45:50.185673,14.45,7.22,0.0,20.4,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_5_202622_2026-W22_20260607_184550.pkl
xgboost_zone_zone_6_202622_2026-W22_20260607_184550,zones,2026-W22,2026-06-07T18:45:50.266924,7.4,4.84,0.0,23.2,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_6_202622_2026-W22_20260607_184550.pkl
xgboost_zone_zone_7_202622_2026-W22_20260607_184550,zones,2026-W22,2026-06-07T18:45:50.352935,12.95,6.57,0.0,28.2,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_7_202622_2026-W22_20260607_184550.pkl
xgboost_zone_zone_8_202622_2026-W22_20260607_184550,zones,2026-W22,2026-06-07T18:45:50.430440,9.08,5.87,0.0,25.1,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_8_202622_2026-W22_20260607_184550.pkl
xgboost_zone_zone_9_202622_2026-W22_20260607_184550,zones,2026-W22,2026-06-07T18:45:50.498111,11.68,6.02,0.0,30.7,0.0,0.0,False,D:\pfmML\PFM\projet_vf\models\versions\xgboost_zone_zone_9_202622_2026-W22_20260607_184550.pkl
