date,model,rmse,mae,r2,type
2026-06-07T18:33:50.368236,xgboost_global,28.668249515333816,17.000690460205078,0.8590620160102844,
2026-06-07T18:33:50.368497,random_forest_global,18.5780531824156,9.209977959270248,0.9408130370324272,
2026-06-07T18:45:50.913390,xgboost_global,5.879350715133684,4.495296955108643,0.9940723180770874,global
2026-06-07T18:45:50.913410,random_forest_global,18.5780531824156,9.20997795927025,0.9408130370324272,global
2026-06-07T18:45:50.914649,zone_0,,,,zone
2026-06-07T18:45:50.917117,zone_1,,,,zone
2026-06-07T18:45:50.919276,zone_2,,,,zone
2026-06-07T18:45:50.921515,zone_3,,,,zone
2026-06-07T18:45:50.928001,zone_4,,,,zone
2026-06-07T18:45:50.931090,zone_5,,,,zone
2026-06-07T18:45:50.934250,zone_6,,,,zone
2026-06-07T18:45:50.936154,zone_7,,,,zone
2026-06-07T18:45:50.937948,zone_8,,,,zone
2026-06-07T18:45:50.946271,zone_9,,,,zone
2026-06-14T20:00:33.432976,xgboost_global,5.879350715133684,4.495296955108643,0.9940723180770874,global
2026-06-14T20:00:33.433012,random_forest_global,18.578053182415605,9.209977959270248,0.9408130370324272,global
2026-06-14T20:00:33.436239,zone_0,,,,zone
2026-06-14T20:00:33.446796,zone_1,,,,zone
2026-06-14T20:00:33.450750,zone_2,,,,zone
2026-06-14T20:00:33.471640,zone_3,,,,zone
2026-06-14T20:00:33.482034,zone_4,,,,zone
2026-06-14T20:00:33.513758,zone_5,,,,zone
2026-06-14T20:00:33.517296,zone_6,,,,zone
2026-06-14T20:00:33.525082,zone_7,,,,zone
2026-06-14T20:00:33.529221,zone_8,,,,zone
2026-06-14T20:00:33.575434,zone_9,,,,zone
