date,nb_seismes,mag_max,mag_mean,mag_median,depth_mean,tsunami_sum,nb_zones,nb_seismes_clean,energy_sum,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,lag_52,energy_lag_1,energy_lag_2,energy_lag_4,zones_lag_1,zones_lag_2,rolling_mean_4,rolling_mean_8,rolling_mean_12,rolling_mean_26,rolling_std_4,rolling_std_8,rolling_std_12,rolling_max_4,rolling_max_8,energy_rolling_4,energy_rolling_8,week_of_year,month,quarter,year,week_sin,week_cos,month_sin,month_cos,energy_per_seisme,tsunami_ratio,mag_spread,delta_seismes,log_energy
2016-01-04,222,6.7,4.46481981981982,4.4,107.62322972972972,4,204,222.0,17584052963.67103,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,1.0,2016.0,0.12053668025532305,0.992708874098054,0.4999999999999999,0.8660254037844387,78852255.44247098,0.0179372197309417,2.23518018018018,,23.590258246697715
2016-01-11,250,6.5,4.5112,4.4,92.184828,4,221,250.0,12551363952.38062,222.0,,,,,,,17584052963.67103,,,204.0,,,,,,,,,,,,,2,1.0,1.0,2016.0,0.23931566428755774,0.970941817426052,0.4999999999999999,0.8660254037844387,50005434.07322956,0.0159362549800796,1.9888000000000003,28.0,23.253095178163065
2016-01-18,267,6.7,4.497640449438202,4.4,90.16703745318353,2,227,267.0,18262980269.535248,250.0,222.0,,,,,,12551363952.38062,17584052963.67103,,221.0,204.0,,,,,,,,,,,,3,1.0,1.0,2016.0,0.3546048870425356,0.9350162426854148,0.4999999999999999,0.8660254037844387,68145448.76692256,0.0074626865671641,2.2023595505617983,17.0,23.628141911858698
2016-01-25,233,7.1,4.510343347639485,4.4,90.87995708154506,6,209,233.0,59703022167.73388,267.0,250.0,222.0,,,,,18262980269.535248,12551363952.38062,,227.0,221.0,,,,,,,,,,,,4,1.0,1.0,2016.0,0.4647231720437685,0.8854560256532099,0.4999999999999999,0.8660254037844387,255141120.3749311,0.0256410256410256,2.5896566523605147,-34.0,24.812648478655543
2016-02-01,259,7.2,4.535250965250966,4.5,92.2507335907336,3,227,259.0,71599588738.47858,233.0,267.0,250.0,222.0,,,,59703022167.73388,18262980269.535248,17584052963.67103,209.0,227.0,243.0,,,,19.714630776828326,,,267.0,,27025354838.330193,,5,2.0,1.0,2016.0,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,275383033.609533,0.0115384615384615,2.6647490347490344,26.0,24.994355167034485
2016-02-08,252,6.4,4.506626984126984,4.4,96.91031746031749,3,209,252.0,11897269106.023487,259.0,233.0,267.0,250.0,,,,71599588738.47858,59703022167.73388,12551363952.38062,227.0,209.0,252.25,,,,14.591664287073858,,,267.0,,40529238782.03208,,6,2.0,1.0,2016.0,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,47024779.07519165,0.0118577075098814,1.8933730158730162,-7.0,23.19957472392302
2016-02-15,244,6.3,4.490573770491803,4.4,90.14549180327867,5,226,244.0,10640885844.47248,252.0,259.0,233.0,267.0,,,,11897269106.023487,71599588738.47858,18262980269.535248,209.0,227.0,252.75,,,,14.522970311429637,,,267.0,,40365715070.4428,,7,2.0,1.0,2016.0,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,43432187.12029584,0.0204081632653061,1.8094262295081966,-8.0,23.08796957354774
2016-02-22,279,6.1,4.50405017921147,4.4,89.88132616487455,2,228,279.0,7346493968.430322,244.0,252.0,259.0,233.0,,,,10640885844.47248,11897269106.023487,59703022167.73388,226.0,209.0,247.0,,,,11.16542281629615,,,259.0,,38460191464.17711,,8,2.0,1.0,2016.0,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,26237478.45867972,0.0071428571428571,1.5959498207885296,35.0,22.717489025403374
2016-02-29,245,6.1,4.442326530612244,4.4,100.5474693877551,2,217,245.0,4392716502.463306,279.0,244.0,252.0,259.0,222.0,,,7346493968.430322,10640885844.47248,71599588738.47858,228.0,226.0,258.5,250.75,,,14.97776129244065,18.203217925881763,,279.0,279.0,25371059414.351215,26198207126.340706,9,2.0,1.0,2016.0,0.8854560256532099,0.4647231720437686,0.8660254037844386,0.5000000000000001,17856571.148224823,0.008130081300813,1.6576734693877553,-34.0,22.20321366615935
2016-03-07,266,7.8,4.460902255639097,4.4,103.85244360902256,1,201,266.0,505436169235.0725,245.0,279.0,244.0,252.0,250.0,,,4392716502.463306,7346493968.430322,11897269106.023487,217.0,228.0,255.0,253.625,,,16.391054470858997,14.441383985912564,,279.0,279.0,8569341355.347399,24549290068.68974,10,3.0,1.0,2016.0,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,1893019360.430983,0.0037453183520599,3.3390977443609025,21.0,26.948687594903866
