date,zone,nb_seismes,lag_1,lag_2,lag_3,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8
2015-02-02,0.0,10,,,,,,4.112987559751024,,3.5456210417116734
2015-02-09,0.0,11,10.0,,,,,1.5000000000000038,,5.0709255283711
2015-02-16,0.0,7,11.0,10.0,,,,2.6299556396765853,,3.327375628243462
2015-02-23,0.0,6,7.0,11.0,10.0,,,14.9303940559741,,10.855380496062113
2015-03-02,0.0,11,6.0,7.0,11.0,10.0,8.5,8.041558721209883,,7.629828681843762
2015-03-09,0.0,8,11.0,6.0,7.0,11.0,8.75,19.22455027649108,,53.65215346496888
2015-03-16,0.0,11,8.0,11.0,6.0,7.0,8.0,18.34847859269718,,12.927683473847894
2015-03-23,0.0,5,11.0,8.0,11.0,6.0,9.0,7.847504911329043,,7.406560798180408
2015-03-30,0.0,7,5.0,11.0,8.0,11.0,8.75,3.304037933599852,8.625,4.208834246473203
2015-04-06,0.0,5,7.0,5.0,11.0,8.0,7.75,0.5000000000001389,8.25,10.872639316848767
2015-04-13,0.0,13,5.0,7.0,5.0,11.0,7.0,4.795831523312734,7.5,3.422613871631689
2015-04-20,0.0,13,13.0,5.0,7.0,5.0,7.5,5.795112883571249,8.25,4.290770826519896
2015-04-27,0.0,4,13.0,13.0,5.0,7.0,9.5,3.4034296427770423,9.125,2.5495097567963825
2015-05-04,0.0,12,4.0,13.0,13.0,5.0,8.75,3.7749172176353927,8.25,2.8157719063467086
2015-05-11,0.0,1,12.0,4.0,13.0,13.0,10.5,2.943920288775973,8.75,5.370222128951992
2015-05-18,0.0,13,1.0,12.0,4.0,13.0,7.5,2.581988897471639,7.5,2.9640705601780537
2015-05-25,0.0,16,13.0,1.0,12.0,4.0,7.5,9.67815409397199,8.5,7.520210863305056
2015-06-01,0.0,22,16.0,13.0,1.0,12.0,10.5,4.991659710623994,9.625,7.671840904055741
2015-06-08,0.0,9,22.0,16.0,13.0,1.0,13.0,3.265986323710926,11.75,5.014265364224065
2015-06-15,0.0,9,9.0,22.0,16.0,13.0,15.0,2.2173557826083776,11.25,2.449489742783169
2015-06-22,0.0,4,9.0,9.0,22.0,16.0,14.0,1.2909944487358616,10.75,1.767766952966356
2015-06-29,0.0,6,4.0,9.0,9.0,22.0,11.0,4.082482904638647,10.75,3.720119045714218
2015-07-06,0.0,10,6.0,4.0,9.0,9.0,7.0,4.8562674281111695,10.0,4.166190448976476
2015-07-13,0.0,19,10.0,6.0,4.0,9.0,7.25,2.872281323269039,11.125,4.120939559996338
2015-07-20,0.0,7,19.0,10.0,6.0,4.0,9.75,2.986078811194844,11.875,3.020761493398636
2015-07-27,0.0,8,7.0,19.0,10.0,6.0,10.5,5.315072906367337,10.75,3.918819064098624
2015-08-03,0.0,7,8.0,7.0,19.0,10.0,11.0,3.593976442141324,9.0,4.276179870598786
2015-08-10,0.0,6,7.0,8.0,7.0,19.0,10.25,2.1602468994693185,8.75,9.783367810436529
2015-08-17,0.0,9,6.0,7.0,8.0,7.0,7.0,10.344080432788608,8.375,8.070006195784483
2015-08-24,0.0,14,9.0,6.0,7.0,8.0,7.5,3.304037933599855,9.0,3.700868623908247
2015-08-31,0.0,13,14.0,9.0,6.0,7.0,9.0,2.217355782608375,10.0,2.6186146828318986
2015-09-07,0.0,7,13.0,14.0,9.0,6.0,10.5,82.96183861671977,10.375,183.6674012603061
2015-09-14,0.0,13,7.0,13.0,14.0,9.0,10.75,6.652067347824316,8.875,5.330170192940512
2015-09-21,0.0,4,13.0,7.0,13.0,14.0,11.75,2.16024689946708,9.625,4.51782185192284
2015-09-28,0.0,12,4.0,13.0,7.0,13.0,9.25,7.1821538088044194,9.125,6.436503043467676
2015-10-05,0.0,8,12.0,4.0,13.0,7.0,9.0,2.2173557826062007,9.75,6.069537520625681
2015-10-12,0.0,7,8.0,12.0,4.0,13.0,9.25,4.645786621587762,10.0,5.070925528370825
2015-10-19,0.0,10,7.0,8.0,12.0,4.0,7.75,3.774917217634117,9.75,4.780914437337283
2015-10-26,0.0,21,10.0,7.0,8.0,12.0,9.25,2.499999999998101,9.25,3.204349722307844
2015-11-02,0.0,12,21.0,10.0,7.0,8.0,11.5,4.645786621587763,10.25,4.688511795563713
2015-11-09,0.0,8,12.0,21.0,10.0,7.0,12.5,4.830458915395497,10.875,4.276179870598464
